"","ID","SMILES"
"1204","Prestw-186","N12[C@@]([C@@H](C1=O)NC(c1c(noc1C)c1c(Cl)cccc1)=O)(SC([C@@H]2C([O-])=O)(C)C)[H]"
"1209","Prestw-187","[C@]12(c3c(c4c([nH]3)cccc4)CC[N@]3[C@@]1(\C(=C/[C@@](C2)(C3)[H])\CC)[H])C(=O)OC"
"1211","Prestw-188","[N+]1(CCCCC[N+]2(C)CCCC2)(C)CCCC1"
"1213","Prestw-189","c12c(nc[nH]1)ncnc2NCc1ccccc1"
"1215","Prestw-190","S(NC(=O)NCCCC)(c1ccc(cc1)C)(=O)=O"
"1223","Prestw-191","c1(c(ccc(c1)OC)OC)C(CNC(=O)CN)O"
"1236","Prestw-192","N1(C(c2c(C1=O)cccc2)=O)C1C(NC(=O)CC1)=O"
"1246","Prestw-193","C=1(/C(c2c(N(\C1)CC)cc1c(c2)OCO1)=O)\C(=O)O"
"1256","Prestw-194","S(Nc1c(cc([N+]([O-])=O)cc1)Oc1ccccc1)(=O)(=O)C"
"1264","Prestw-1231","[C@]12([C@](c3c(Oc4c1cc(cc4)Cl)cccc3)(CN(C2)C)[H])[H]"
"1273","Prestw-196","c12c(C(N(C(N1C)=O)CCCCC(=O)C)=O)n(cn2)C"
"1283","Prestw-197","c1([C@H]([C@@H](N)C)O)cc(O)ccc1"
"1286","Prestw-198","c1(cc(ccc1O)C(CNC(C)(C)C)O)CO"
"1291","Prestw-199","C(Nc1c(C)cccc1)(=O)C(NCCC)C"
"1293","Prestw-200","N12\C(\c3c(C1)cc1c(n3)cccc1)=C/C/1=C(\C2=O)/COC([C@]1(O)CC)=O"
"1301","Prestw-201","[N+](/C=C(/NC)\NCCSCc1oc(cc1)CN(C)C)([O-])=O"
"1307","Prestw-202","c1(c(cc(cc1I)CC(=O)O)I)Oc1cc(c(cc1)O)I"
"1315","Prestw-203","C(c1cc(Nc2c(C(=O)O)cccc2)ccc1)(F)(F)F"
"1320","Prestw-204","C\1(=C\N2c3c(C1=O)cc(cc3CCC2C)F)/C(=O)O"
"1326","Prestw-205","c1(c(Nc2c(c(Cl)ccc2)C)cccc1)C(=O)O"
"1332","Prestw-206","c1(Nc2c(C([O-])=O)cccc2)c(c(ccc1Cl)C)Cl"
"1338","Prestw-1181","C/1\2=C(/C[C@H]([C@]3([C@]4([C@@]([C@](C#C)(CC4)O)(CC[C@]13[H])C)[H])[H])C)\CC(=O)CC2"
"1345","Prestw-208","n1c(c(Cc2cc(c(c(c2)OC)OC)OC)cnc1N)N"
"1350","Prestw-209","c1(c(cc(c(c1)Cl)N)OC)C(=O)NCCN(CC)CC"
"1355","Prestw-210","c1(nc2c([nH]1)ccc(c2)Sc1ccccc1)NC(=O)OC"
"1358","Prestw-211","S1(N(\C(=C(/c2c1cccc2)\O)\C(Nc1ncccc1)=O)C)(=O)=O"
"1366","Prestw-212","C=1(\N(CCC/N1)C)/C=C/c1sccc1"
"1374","Prestw-213","C1(OC2(CCN(CC2)CCc2ccccc2)CN1)=O"
"1379","Prestw-214","C(C(CCCOc1c(ccc(c1)C)C)(C)C)(=O)O"
"1385","Prestw-215","C(=O)(NCCN(CC)CC)COc1ccc(cc1)OC"
"1387","Prestw-216","S(c1cc(C(=O)NCCN(CC)CC)c(cc1)OC)(=O)(=O)C"
"1398","Prestw-217","c1(nc2c([nH]1)ccc(C(=O)c1ccccc1)c2)NC(=O)OC"
"1404","Prestw-218","C(c1ccc(cc1)c1ccccc1)(=O)CCC(=O)O"
"1409","Prestw-219","C(c1cc(C(C(=O)O)C)ccc1)(=O)c1ccccc1"
"1413","Prestw-220","S(c1cc(C(NN2c3c(CC2C)cccc3)=O)ccc1Cl)(=O)(=O)N"
"1422","Prestw-221","C=1(\C(c2c(N(/C1)CC)cc(c(c2)F)N1CCNCC1)=O)/C(=O)O"
"1432","Prestw-222","C1(C(O[C@H]([C@@H]([C@H](C(O[C@@H]1C)=O)CCCCCC)OC(=O)CC(C)C)C)=O)NC(c1c(c(NC(=O)[H])ccc1)O)=O"
"1434","Prestw-223","c1(c(cc(cc1C)C(C)(C)C)C)C\C\1=N\CCN1"
"1437","Prestw-224","c1(c(c(c(c(c1)C)C/C/1=N/CCN1)C)O)C(C)(C)C"
"1452","Prestw-225","C=1(/C(N(N(\C1\C)C)c1ccccc1)=O)\NC(c1cnccc1)=O"
"1455","Prestw-226","[C@]12(C(c3c(O1)c(c(cc3OC)OC)Cl)=O)/C(=C\C(C[C@H]2C)=O)/OC"
"1462","Prestw-227","c1(n(c2c(n1)cccc2)Cc1ccc(Cl)cc1)CN1CCCC1"
"1466","Prestw-228","C(C(c1ccccc1)CO)(N(Cc1ccncc1)CC)=O"
"1477","Prestw-229","c12C(OCCN(Cc1cccc2)C)c1ccccc1"
"1484","Prestw-230","N(c1cc(O)ccc1)(C\C\1=N\CCN1)c1ccc(cc1)C"
"1493","Prestw-231","c12[nH]c3c(c1CCOC2(CC(=O)O)CC)cccc3CC"
"1501","Prestw-232","[C@]12([C@@](O1)([C@]1([N+]([C@@]2(C[C@H](C1)OC([C@@H](c1ccccc1)CO)=O)[H])([O-])C)[H])[H])[H]"
"1509","Prestw-233","N1([C@@]2(C[C@@H](OC([C@@H](c3ccccc3)CO)=O)C[C@]1(CC2)[H])[H])C"
"1523","Prestw-234","C(=O)(OCC(COc1ccc(Cl)cc1)O)N"
"1530","Prestw-1771","N/1(C(NC(/C(=C1)/F)=O)=O)C(=O)NCCCCCC"
